iter	Passed	Remaining
409	3707	5334
410	3714	5323
411	3722	5313
412	3729	5301
413	3738	5291
414	3744	5278
415	3752	5268
416	3759	5256
417	3766	5244
418	3775	5235
419	3782	5223
420	3790	5213
421	3797	5201
422	3806	5191
423	3812	5179
424	3821	5170
425	3828	5158
426	3836	5148
427	3843	5137
428	3851	5127
429	3859	5115
430	3866	5105
431	3874	5093
432	3881	5082
433	3889	5072
434	3896	5061
435	3904	5051
436	3911	5039
437	3919	5029
438	3926	5017
439	3934	5007
440	3941	4996
441	3949	4986
442	3956	4974
443	3966	4966
444	3973	4955
445	3980	4944
446	3988	4934
447	3995	4922
448	4003	4912
449	4010	4901
450	4018	4891
451	4025	4880
452	4033	4870
453	4040	4859
454	4049	4850
455	4056	4839
456	4064	4829
457	4071	4817
458	4078	4807
459	4086	4797
460	4093	4786
461	4102	4777
462	4109	4766
463	4118	4757
464	4125	4746
465	4133	4736
466	4140	4725
467	4148	4715
468	4155	4704
469	4163	4694
470	4170	4683
471	4178	4674
472	4186	4664
473	4194	4654
474	4201	4644
475	4209	4634
476	4217	4624
477	4224	4613
478	4233	4604
479	4240	4593
480	4248	4584
481	4255	4573
482	4265	4566
483	4274	4556
484	4283	4548
485	4292	4540
486	4301	4531
487	4311	4523
488	4319	4513
489	4328	4505
490	4336	4495
491	4346	4487
492	4354	4477
493	4364	4470
494	4373	4461
495	4382	4452
496	4391	4444
497	4400	4436
498	4410	4427
499	4418	4418
500	4426	4408
501	4433	4397
502	4441	4388
503	4447	4377
504	4455	4366
505	4462	4356
506	4469	4346
507	4477	4336
508	4484	4325
509	4492	4316
510	4500	4306
511	4508	4297
512	4515	4286
513	4523	4277
514	4530	4266
515	4538	4256
516	4545	4246
517	4551	4235
518	4559	4225
519	4566	4215
520	4574	4205
521	4581	4195
522	4589	4185
523	4596	4175
524	4604	4166
525	4612	4156
526	4619	4146
527	4627	4136
528	4634	4126
529	4642	4116
530	4649	4106
531	4657	4097
532	4664	4086
533	4672	4077
534	4679	4066
535	4686	4057
536	4694	4047
537	4702	4038
538	4709	4027
539	4716	4017
540	4724	4008
541	4731	3997
542	4738	3988
543	4745	3978
544	4754	3969
545	4761	3959
546	4769	3950
547	4776	3939
548	4784	3930
549	4791	3920
550	4798	3910
551	4806	3900
552	4814	3891
553	4823	3882
554	4829	3872
555	4838	3863
556	4844	3853
557	4852	3844
558	4860	3834
559	4868	3824
560	4875	3814
561	4883	3805
562	4890	3795
563	4898	3786
564	4905	3776
565	4912	3766
566	4921	3758
567	4928	3748
568	4936	3739
569	4943	3729
570	4952	3720
571	4959	3710
572	4967	3701
573	4974	3691
574	4982	3682
575	4989	3672
576	4997	3663
577	5004	3653
578	5012	3644
579	5020	3635
580	5027	3625
581	5035	3616
582	5042	3607
583	5051	3598
584	5058	3588
585	5066	3579
586	5073	3569
587	5081	3560
588	5088	3550
589	5096	3541
590	5103	3531
591	5111	3522
592	5118	3513
593	5125	3503
594	5134	3494
595	5140	3484
596	5150	3476
597	5157	3466
598	5165	3457
599	5172	3448
600	5180	3439
601	5187	3429
602	5196	3420
603	5202	3411
604	5211	3402
605	5218	3392
606	5226	3383
607	5234	3374
608	5241	3365
609	5249	3355
610	5257	3346
611	5265	3338
612	5272	3328
613	5280	3319
614	5288	3310
615	5296	3301
616	5303	3291
617	5310	3282
618	5318	3273
619	5326	3264
620	5333	3255
621	5342	3246
622	5349	3237
623	5357	3228
624	5364	3218
625	5371	3208
626	5379	3200
627	5385	3190
628	5393	3181
629	5400	3171
630	5409	3163
631	5417	3154
632	5426	3146
633	5435	3137
634	5445	3129
635	5453	3120
636	5462	3112
637	5470	3104
638	5479	3095
639	5488	3087
640	5496	3078
641	5505	3070
642	5515	3062
643	5525	3054
644	5534	3045
645	5546	3039
646	5556	3031
647	5565	3023
648	5574	3014
649	5581	3005
650	5590	2997
651	5598	2988
652	5607	2979
653	5615	2970
654	5623	2962
655	5630	2952
656	5638	2943
657	5645	2934
658	5653	2925
659	5660	2916
660	5669	2907
661	5675	2897
662	5682	2888
663	5691	2879
664	5698	2870
665	5706	2861
666	5713	2852
667	5721	2843
668	5728	2834
669	5736	2825
670	5743	2816
671	5752	2807
672	5759	2798
673	5767	2789
674	5774	2780
675	5781	2771
676	5788	2761
677	5796	2752
678	5804	2743
679	5811	2734
680	5819	2725
681	5826	2716
682	5834	2708
683	5842	2699
684	5850	2690
685	5858	2681
686	5866	2672
687	5873	2663
688	5880	2654
689	5887	2645
690	5894	2635
691	5902	2627
692	5909	2617
693	5918	2609
694	5924	2600
695	5933	2591
696	5939	2582
697	5950	2574
698	5957	2565
699	5965	2556
700	5972	2547
701	5979	2538
702	5986	2529
703	5993	2520
704	6001	2511
705	6008	2502
706	6017	2493
707	6024	2484
708	6032	2476
709	6039	2466
710	6047	2458
711	6055	2449
712	6063	2440
713	6070	2431
714	6079	2423
715	6085	2413
716	6093	2405
717	6100	2396
718	6107	2387
719	6117	2378
720	6126	2370
721	6134	2361
722	6143	2353
723	6152	2345
724	6162	2337
725	6170	2328
726	6179	2320
727	6187	2311
728	6196	2303
729	6203	2294
730	6212	2286
731	6220	2277
732	6229	2269
733	6238	2260
734	6246	2252
735	6254	2243
736	6262	2234
737	6269	2225
738	6277	2217
739	6284	2208
740	6292	2199
741	6299	2190
742	6306	2181
743	6313	2172
744	6320	2163
745	6329	2154
746	6336	2145
747	6345	2137
748	6352	2128
749	6361	2120
750	6368	2111
751	6376	2102
752	6382	2093
753	6390	2085
754	6397	2076
